,index,YearsCodePro
36827,36827,8
36829,36829,4
36830,36830,22
36832,36832,6
36834,36834,1
36835,36835,40
36837,36837,1
36838,36838,12
36839,36839,16
36840,36840,7
36842,36842,3
36844,36844,6
36845,36845,1
36848,36848,2
36850,36850,14
36851,36851,2
36852,36852,20
36853,36853,10
36854,36854,2
36855,36855,1
36858,36858,2
36860,36860,10
36861,36861,6
36864,36864,1
36865,36865,3
36866,36866,9
36868,36868,15
36871,36871,12
36872,36872,18
36873,36873,5
36874,36874,5
36877,36877,6
36878,36878,2
36879,36879,2
36881,36881,5
36882,36882,10
36884,36884,3
36885,36885,38
36887,36887,3
36888,36888,13
36889,36889,1
36890,36890,15
36891,36891,28
36893,36893,12
36894,36894,3
36895,36895,2
36896,36896,10
36898,36898,4
36899,36899,35
36901,36901,4
36902,36902,2
36904,36904,22
36905,36905,1
36906,36906,1
36907,36907,6
36908,36908,8
36909,36909,10
36910,36910,1
36911,36911,2
36913,36913,2
36915,36915,4
36916,36916,13
36918,36918,30
36920,36920,1
36921,36921,3
36923,36923,2
36924,36924,32
36925,36925,25
36926,36926,1
36927,36927,15
36928,36928,4
36929,36929,10
36930,36930,1
36931,36931,31
36932,36932,3
36934,36934,6
36935,36935,1
36936,36936,4
36938,36938,5
36939,36939,3
36940,36940,24
36941,36941,1
36942,36942,3
36943,36943,6
36945,36945,5
36946,36946,9
36947,36947,3
36948,36948,1
36950,36950,11
36953,36953,4
36956,36956,6
36957,36957,24
36958,36958,9
36959,36959,4
36960,36960,4
36962,36962,11
36963,36963,1
36964,36964,2
36966,36966,7
36967,36967,3
36968,36968,7
36969,36969,1
36970,36970,7
36971,36971,1
36975,36975,10
36976,36976,10
36977,36977,3
36981,36981,10
36982,36982,13
36983,36983,3
36984,36984,6
36985,36985,5
36986,36986,3
36987,36987,4
36988,36988,3
36990,36990,8
36991,36991,14
36994,36994,4
36996,36996,8
36997,36997,4
36998,36998,8
36999,36999,17
37001,37001,35
37004,37004,9
37005,37005,4
37006,37006,8
37007,37007,6
37010,37010,1
37011,37011,5
37012,37012,13
37013,37013,6
37014,37014,15
37015,37015,2
37017,37017,10
37018,37018,5
37019,37019,10
37020,37020,1
37022,37022,2
37024,37024,1
37025,37025,10
37027,37027,1
37030,37030,9
37031,37031,2
37032,37032,6
37034,37034,29
37037,37037,5
37039,37039,5
37040,37040,8
37041,37041,25
37042,37042,4
37043,37043,3
37046,37046,27
37047,37047,1
37048,37048,8
37049,37049,6
37050,37050,6
37051,37051,4
37052,37052,3
37053,37053,1
37057,37057,5
37058,37058,10
37060,37060,10
37061,37061,6
37063,37063,2
37064,37064,10
37065,37065,4
37066,37066,1
37070,37070,20
37071,37071,6
37072,37072,3
37073,37073,5
37074,37074,18
37075,37075,13
37076,37076,2
37077,37077,2
37078,37078,6
37079,37079,4
37081,37081,1
37082,37082,6
37084,37084,1
37085,37085,5
37088,37088,7
37092,37092,17
37093,37093,13
37098,37098,17
37099,37099,13
37100,37100,2
37101,37101,10
37103,37103,13
37106,37106,12
37107,37107,1
37108,37108,5
37109,37109,8
37110,37110,7
37113,37113,15
37114,37114,3
37116,37116,8
37117,37117,4
37118,37118,15
37119,37119,6
37121,37121,9
37122,37122,1
37123,37123,5
37124,37124,10
37125,37125,8
37126,37126,15
37127,37127,17
37132,37132,20
37133,37133,2
37134,37134,8
37137,37137,30
37138,37138,8
37139,37139,2
37140,37140,10
37141,37141,4
37144,37144,5
37145,37145,5
37146,37146,3
37147,37147,18
37148,37148,2
37150,37150,6
37153,37153,11
37154,37154,21
37156,37156,11
37158,37158,11
37162,37162,1
37163,37163,8
37166,37166,2
37168,37168,11
37170,37170,8
37173,37173,5
37176,37176,7
37177,37177,13
37178,37178,2
37179,37179,20
37181,37181,3
37182,37182,15
37183,37183,5
37184,37184,4
37185,37185,15
37186,37186,8
37187,37187,7
37188,37188,10
37194,37194,3
37195,37195,3
37197,37197,7
37198,37198,7
37199,37199,14
37200,37200,28
37203,37203,20
37204,37204,14
37206,37206,20
37207,37207,6
37208,37208,10
37209,37209,8
37210,37210,13
37211,37211,1
37212,37212,21
37215,37215,10
37216,37216,25
37219,37219,7
37220,37220,9
37221,37221,5
37226,37226,3
37227,37227,5
37231,37231,2
37232,37232,2
37233,37233,16
37234,37234,38
37235,37235,3
37236,37236,10
37238,37238,20
37239,37239,35
37240,37240,3
37242,37242,2
37243,37243,11
37245,37245,29
37247,37247,4
37250,37250,20
37251,37251,25
37252,37252,14
37255,37255,4
37256,37256,6
37257,37257,3
37262,37262,2
37265,37265,9
37267,37267,15
37268,37268,5
37273,37273,1
37274,37274,29
37277,37277,2
37280,37280,8
37281,37281,30
37282,37282,1
37285,37285,4
37287,37287,7
37288,37288,22
37289,37289,25
37290,37290,4
37291,37291,8
37292,37292,7
37294,37294,33
37296,37296,25
37297,37297,5
37298,37298,3
37299,37299,3
37300,37300,32
37301,37301,5
37302,37302,6
37306,37306,4
37308,37308,3
37309,37309,10
37310,37310,5
37311,37311,5
37313,37313,3
37314,37314,2
37316,37316,21
37319,37319,1
37320,37320,1
37321,37321,1
37324,37324,10
37325,37325,8
37327,37327,3
37328,37328,1
37329,37329,6
37330,37330,8
37331,37331,9
37333,37333,12
37335,37335,5
37337,37337,5
37338,37338,6
37339,37339,30
37340,37340,5
37341,37341,2
37343,37343,10
37344,37344,5
37345,37345,2
37348,37348,3
37349,37349,3
37352,37352,2
37355,37355,1
37356,37356,3
37357,37357,3
37358,37358,20
37361,37361,4
37362,37362,6
37363,37363,3
37365,37365,19
37367,37367,4
37372,37372,11
37373,37373,1
37374,37374,8
37376,37376,1
37377,37377,2
37378,37378,19
37379,37379,6
37380,37380,1
37382,37382,11
37384,37384,1
37385,37385,7
37386,37386,8
37387,37387,9
37388,37388,15
37389,37389,4
37390,37390,3
37391,37391,3
37392,37392,5
37393,37393,12
37394,37394,1
37395,37395,7
37396,37396,6
37397,37397,1
37398,37398,10
37400,37400,4
37401,37401,7
37406,37406,15
37409,37409,22
37411,37411,1
37414,37414,1
37416,37416,21
37417,37417,40
37419,37419,1
37423,37423,18
37427,37427,1
37430,37430,14
37432,37432,20
37433,37433,4
37436,37436,3
37437,37437,4
37438,37438,4
37439,37439,11
37440,37440,10
37441,37441,16
37442,37442,1
37444,37444,10
37445,37445,10
37446,37446,5
37447,37447,5
37448,37448,4
37449,37449,1
37453,37453,3
37454,37454,9
37455,37455,25
37456,37456,1
37458,37458,11
37459,37459,8
37460,37460,3
37461,37461,7
37462,37462,2
37465,37465,4
37466,37466,2
37467,37467,20
37468,37468,3
37469,37469,3
37470,37470,15
37471,37471,4
37472,37472,3
37474,37474,15
37477,37477,7
37478,37478,7
37480,37480,16
37484,37484,2
37488,37488,1
37489,37489,5
37493,37493,11
37494,37494,13
37497,37497,8
37499,37499,7
37501,37501,31
37502,37502,10
37503,37503,2
37504,37504,24
37505,37505,1
37510,37510,2
37511,37511,16
37512,37512,3
37514,37514,3
37516,37516,1
37520,37520,1
37521,37521,2
37522,37522,10
37523,37523,1
37524,37524,2
37525,37525,20
37529,37529,1
37531,37531,7
37532,37532,11
37533,37533,1
37534,37534,7
37536,37536,1
37538,37538,2
37539,37539,8
37542,37542,1
37543,37543,16
37544,37544,5
37545,37545,3
37546,37546,4
37547,37547,12
37550,37550,6
37551,37551,31
37552,37552,8
37555,37555,3
37557,37557,15
37558,37558,3
37559,37559,5
37562,37562,9
37564,37564,7
37566,37566,35
37567,37567,9
37568,37568,4
37569,37569,14
37570,37570,1
37574,37574,2
37575,37575,4
37576,37576,20
37580,37580,4
37581,37581,1
37582,37582,15
37584,37584,12
37585,37585,15
37586,37586,8
37588,37588,34
37589,37589,8
37590,37590,19
37592,37592,7
37593,37593,26
37594,37594,7
37595,37595,14
37596,37596,12
37598,37598,2
37601,37601,8
37602,37602,10
37603,37603,8
37604,37604,3
37605,37605,20
37606,37606,20
37607,37607,8
37610,37610,34
37611,37611,5
37612,37612,9
37614,37614,7
37615,37615,1
37618,37618,3
37619,37619,4
37621,37621,1
37622,37622,7
37623,37623,2
37624,37624,5
37625,37625,2
37626,37626,5
37628,37628,21
37629,37629,5
37630,37630,14
37631,37631,44
37632,37632,13
37634,37634,12
37635,37635,8
37637,37637,5
37638,37638,8
37639,37639,5
37643,37643,1
37644,37644,5
37646,37646,21
37647,37647,10
37648,37648,2
37650,37650,3
37651,37651,3
37655,37655,6
37656,37656,4
37657,37657,8
37658,37658,1
37660,37660,6
37662,37662,2
37666,37666,21
37667,37667,4
37668,37668,10
37669,37669,3
37670,37670,15
37672,37672,6
37673,37673,13
37674,37674,3
37675,37675,11
37676,37676,19
37678,37678,6
37679,37679,1
37681,37681,3
37682,37682,3
37683,37683,4
37684,37684,4
37685,37685,6
37686,37686,14
37687,37687,1
37693,37693,7
37694,37694,18
37695,37695,3
37697,37697,6
37698,37698,5
37699,37699,10
37700,37700,3
37701,37701,25
37702,37702,1
37703,37703,3
37705,37705,13
37706,37706,25
37707,37707,25
37708,37708,2
37709,37709,20
37710,37710,3
37711,37711,2
37712,37712,32
37713,37713,2
37714,37714,2
37715,37715,2
37716,37716,1
37717,37717,3
37719,37719,9
37721,37721,2
37722,37722,2
37725,37725,36
37727,37727,10
37729,37729,9
37730,37730,5
37731,37731,10
37732,37732,7
37733,37733,4
37734,37734,2
37736,37736,4
37740,37740,2
37741,37741,26
37743,37743,4
37744,37744,22
37745,37745,3
37746,37746,2
37747,37747,30
37749,37749,2
37750,37750,1
37751,37751,21
37752,37752,18
37754,37754,9
37755,37755,20
37756,37756,10
37757,37757,10
37758,37758,16
37759,37759,6
37760,37760,5
37761,37761,14
37762,37762,40
37763,37763,3
37764,37764,5
37765,37765,5
37767,37767,15
37768,37768,2
37769,37769,7
37771,37771,37
37772,37772,32
37774,37774,5
37775,37775,19
37776,37776,5
37777,37777,26
37778,37778,5
37780,37780,3
37781,37781,3
37782,37782,5
37783,37783,10
37784,37784,3
37785,37785,8
37786,37786,2
37787,37787,5
37788,37788,18
37789,37789,20
37790,37790,2
37791,37791,1
37794,37794,8
37797,37797,8
37798,37798,20
37799,37799,2
37801,37801,12
37803,37803,15
37804,37804,1
37805,37805,4
37808,37808,5
37809,37809,32
37810,37810,4
37811,37811,20
37812,37812,12
37813,37813,12
37815,37815,3
37816,37816,8
37817,37817,2
37818,37818,3
37819,37819,11
37820,37820,10
37823,37823,2
37824,37824,2
37825,37825,6
37830,37830,3
37831,37831,7
37834,37834,7
37835,37835,10
37836,37836,9
37838,37838,5
37839,37839,7
37840,37840,6
37841,37841,4
37843,37843,3
37844,37844,3
37846,37846,10
37847,37847,1
37848,37848,14
37849,37849,5
37850,37850,16
37851,37851,2
37853,37853,15
37854,37854,3
37855,37855,8
37857,37857,3
37858,37858,12
37860,37860,35
37862,37862,11
37863,37863,5
37868,37868,7
37869,37869,21
37870,37870,16
37872,37872,4
37873,37873,14
37875,37875,1
37876,37876,6
37878,37878,23
37879,37879,3
37880,37880,2
37881,37881,7
37882,37882,2
37884,37884,4
37885,37885,1
37887,37887,2
37888,37888,9
37889,37889,2
37891,37891,8
37892,37892,15
37893,37893,4
37895,37895,24
37896,37896,2
37897,37897,3
37898,37898,6
37901,37901,8
37902,37902,1
37903,37903,10
37905,37905,2
37907,37907,3
37908,37908,7
37909,37909,2
37911,37911,7
37915,37915,7
37916,37916,3
37919,37919,3
37920,37920,2
37921,37921,4
37923,37923,3
37925,37925,6
37926,37926,1
37927,37927,16
37929,37929,30
37931,37931,3
37932,37932,20
37934,37934,3
37936,37936,17
37937,37937,10
37938,37938,10
37940,37940,5
37942,37942,6
37945,37945,7
37946,37946,2
37947,37947,10
37948,37948,9
37950,37950,4
37952,37952,20
37955,37955,2
37956,37956,3
37957,37957,13
37959,37959,5
37960,37960,3
37961,37961,4
37962,37962,16
37965,37965,8
37966,37966,2
37968,37968,5
37969,37969,20
37970,37970,8
37971,37971,15
37972,37972,5
37974,37974,4
37975,37975,2
37977,37977,3
37981,37981,3
37982,37982,32
37986,37986,14
37988,37988,8
37989,37989,8
37993,37993,10
37994,37994,25
37995,37995,16
37996,37996,2
37997,37997,13
37999,37999,15
38000,38000,36
38001,38001,4
38002,38002,20
38003,38003,7
38004,38004,7
38007,38007,3
38008,38008,24
38009,38009,5
38010,38010,36
38011,38011,1
38012,38012,3
38013,38013,3
38014,38014,17
38015,38015,7
38018,38018,9
38019,38019,11
38020,38020,1
38022,38022,3
38023,38023,25
38024,38024,6
38025,38025,12
38026,38026,28
38027,38027,6
38029,38029,18
38030,38030,24
38031,38031,3
38032,38032,8
38033,38033,3
38034,38034,7
38035,38035,18
38036,38036,14
38039,38039,6
38042,38042,10
38043,38043,23
38046,38046,10
38047,38047,15
38048,38048,4
38049,38049,1
38051,38051,42
38052,38052,1
38053,38053,16
38054,38054,20
38055,38055,8
38057,38057,2
38058,38058,3
38059,38059,10
38060,38060,17
38061,38061,11
38062,38062,4
38063,38063,4
38066,38066,4
38067,38067,5
38068,38068,8
38069,38069,3
38070,38070,5
38071,38071,10
38073,38073,6
38074,38074,4
38075,38075,1
38076,38076,1
38077,38077,17
38078,38078,5
38079,38079,3
38080,38080,10
38083,38083,4
38084,38084,6
38085,38085,1
38086,38086,24
38087,38087,7
38088,38088,6
38089,38089,23
38090,38090,2
38091,38091,1
38092,38092,17
38093,38093,2
38094,38094,1
38095,38095,7
38096,38096,7
38097,38097,8
38100,38100,4
38101,38101,7
38103,38103,18
38104,38104,15
38105,38105,6
38107,38107,2
38108,38108,1
38110,38110,25
38111,38111,5
38113,38113,16
38117,38117,10
38120,38120,9
38122,38122,6
38123,38123,1
38124,38124,3
38125,38125,11
38126,38126,7
38128,38128,1
38133,38133,3
38135,38135,6
38136,38136,6
38137,38137,10
38139,38139,7
38141,38141,2
38142,38142,1
38144,38144,17
38145,38145,6
38147,38147,10
38148,38148,1
38149,38149,6
38151,38151,3
38153,38153,5
38154,38154,2
38155,38155,6
38157,38157,7
38158,38158,2
38159,38159,5
38160,38160,7
38162,38162,1
38163,38163,14
38165,38165,4
38168,38168,19
38169,38169,3
38170,38170,10
38171,38171,7
38173,38173,10
38174,38174,3
38175,38175,7
38176,38176,3
38177,38177,17
38181,38181,4
38183,38183,1
38184,38184,5
38188,38188,1
38189,38189,12
38190,38190,20
38191,38191,22
38193,38193,3
38195,38195,14
38197,38197,1
38202,38202,1
38203,38203,2
38204,38204,2
38208,38208,3
38209,38209,3
38210,38210,3
38212,38212,18
38213,38213,7
38214,38214,20
38218,38218,7
38221,38221,16
38223,38223,21
38225,38225,2
38227,38227,1
38228,38228,5
38230,38230,7
38231,38231,1
38232,38232,13
38233,38233,6
38234,38234,40
38235,38235,5
38238,38238,1
38239,38239,18
38240,38240,18
38242,38242,10
38244,38244,6
38245,38245,10
38246,38246,15
38247,38247,10
38248,38248,18
38250,38250,3
38251,38251,20
38253,38253,6
38254,38254,6
38256,38256,2
38257,38257,15
38259,38259,22
38261,38261,1
38262,38262,3
38263,38263,6
38264,38264,6
38265,38265,8
38266,38266,4
38267,38267,1
38269,38269,1
38270,38270,5
38271,38271,8
38272,38272,15
38273,38273,5
38276,38276,7
38277,38277,20
38278,38278,5
38279,38279,10
38280,38280,8
38282,38282,5
38283,38283,18
38284,38284,4
38285,38285,27
38286,38286,25
38287,38287,3
38288,38288,8
38291,38291,8
38295,38295,3
38296,38296,37
38298,38298,5
38299,38299,3
38301,38301,10
38302,38302,1
38303,38303,5
38306,38306,8
38308,38308,3
38312,38312,21
38314,38314,12
38315,38315,3
38316,38316,3
38317,38317,5
38319,38319,2
38320,38320,16
38321,38321,13
38322,38322,14
38323,38323,10
38327,38327,20
38328,38328,1
38329,38329,6
38330,38330,8
38332,38332,1
38333,38333,1
38334,38334,8
38338,38338,1
38343,38343,3
38346,38346,9
38350,38350,15
38351,38351,1
38352,38352,7
38353,38353,7
38354,38354,15
38355,38355,1
38356,38356,16
38359,38359,5
38362,38362,20
38363,38363,10
38365,38365,6
38367,38367,27
38368,38368,16
38369,38369,26
38370,38370,4
38372,38372,7
38373,38373,3
38374,38374,2
38375,38375,14
38377,38377,3
38378,38378,2
38379,38379,1
38382,38382,10
38386,38386,16
38388,38388,3
38390,38390,4
38392,38392,2
38394,38394,3
38395,38395,39
38396,38396,16
38400,38400,17
38402,38402,3
38403,38403,5
38404,38404,5
38405,38405,6
38406,38406,1
38407,38407,9
38408,38408,3
38409,38409,1
38410,38410,3
38414,38414,1
38415,38415,1
38418,38418,6
38419,38419,3
38420,38420,1
38421,38421,4
38423,38423,10
38424,38424,3
38425,38425,5
38427,38427,2
38428,38428,6
38429,38429,12
38431,38431,3
38432,38432,3
38433,38433,7
38435,38435,8
38436,38436,4
38437,38437,17
38439,38439,10
38440,38440,26
38443,38443,2
38444,38444,10
38445,38445,9
38446,38446,36
38447,38447,19
38450,38450,5
38451,38451,38
38453,38453,7
38454,38454,10
38455,38455,2
38456,38456,15
38457,38457,5
38459,38459,3
38460,38460,4
38462,38462,10
38465,38465,25
38468,38468,37
38469,38469,3
38471,38471,7
38473,38473,13
38474,38474,1
38475,38475,6
38476,38476,3
38477,38477,10
38479,38479,4
38481,38481,1
38484,38484,2
38485,38485,8
38489,38489,7
38490,38490,13
38491,38491,5
38492,38492,1
38493,38493,15
38494,38494,8
38495,38495,5
38497,38497,25
38498,38498,4
38500,38500,6
38501,38501,6
38503,38503,13
38504,38504,4
38505,38505,6
38506,38506,25
38508,38508,1
38510,38510,1
38511,38511,14
38512,38512,25
38514,38514,2
38516,38516,20
38517,38517,41
38518,38518,30
38519,38519,6
38526,38526,5
38527,38527,10
38530,38530,2
38531,38531,4
38532,38532,15
38533,38533,25
38534,38534,4
38536,38536,35
38539,38539,3
38540,38540,7
38541,38541,2
38544,38544,23
38545,38545,24
38547,38547,3
38549,38549,2
38550,38550,6
38552,38552,5
38553,38553,1
38554,38554,2
38555,38555,12
38557,38557,28
38558,38558,10
38560,38560,20
38561,38561,30
38563,38563,14
38566,38566,3
38571,38571,23
38572,38572,1
38573,38573,12
38574,38574,10
38577,38577,4
38578,38578,6
38580,38580,3
38581,38581,6
38583,38583,6
38584,38584,9
38589,38589,24
38590,38590,36
38591,38591,19
38595,38595,5
38598,38598,11
38599,38599,7
38600,38600,3
38601,38601,4
38603,38603,13
38604,38604,15
38605,38605,4
38607,38607,32
38608,38608,27
38609,38609,3
38612,38612,17
38614,38614,20
38615,38615,30
38616,38616,4
38617,38617,30
38619,38619,33
38620,38620,18
38621,38621,1
38622,38622,7
38623,38623,24
38625,38625,5
38626,38626,1
38628,38628,7
38630,38630,12
38632,38632,5
38633,38633,15
38634,38634,2
38635,38635,13
38637,38637,13
38639,38639,1
38642,38642,6
38643,38643,4
38644,38644,10
38647,38647,5
38648,38648,15
38651,38651,6
38652,38652,4
38653,38653,2
38654,38654,21
38658,38658,6
38660,38660,3
38662,38662,14
38665,38665,2
38666,38666,33
38667,38667,10
38668,38668,8
38670,38670,22
38672,38672,18
38673,38673,22
38674,38674,34
38675,38675,7
38679,38679,4
38681,38681,4
38683,38683,27
38686,38686,3
38688,38688,1
38690,38690,2
38691,38691,21
38692,38692,5
38694,38694,4
38695,38695,2
38696,38696,18
38699,38699,3
38701,38701,1
38702,38702,24
38703,38703,9
38704,38704,9
38706,38706,12
38708,38708,1
38709,38709,6
38711,38711,14
38712,38712,18
38713,38713,14
38714,38714,18
38716,38716,3
38717,38717,1
38718,38718,34
38721,38721,21
38722,38722,30
38729,38729,15
38733,38733,17
38735,38735,1
38736,38736,4
38738,38738,1
38739,38739,6
38740,38740,7
38743,38743,9
38744,38744,20
38745,38745,6
38746,38746,10
38751,38751,3
38753,38753,6
38754,38754,2
38755,38755,2
38756,38756,6
38757,38757,10
38760,38760,4
38762,38762,6
38763,38763,28
38764,38764,13
38765,38765,6
38766,38766,1
38770,38770,10
38771,38771,1
38772,38772,20
38774,38774,1
38775,38775,11
38776,38776,23
38778,38778,20
38779,38779,27
38780,38780,12
38781,38781,15
38784,38784,20
38790,38790,4
38792,38792,3
38793,38793,4
38794,38794,6
38795,38795,2
38796,38796,1
38797,38797,10
38798,38798,8
38800,38800,29
38803,38803,1
38804,38804,3
38805,38805,5
38808,38808,22
38811,38811,2
38812,38812,1
38813,38813,21
38814,38814,8
38815,38815,1
38816,38816,45
38817,38817,4
38819,38819,5
38822,38822,5
38823,38823,11
38825,38825,11
38827,38827,4
38828,38828,6
38829,38829,4
38830,38830,22
38833,38833,10
38834,38834,5
38837,38837,1
38840,38840,4
38841,38841,10
38845,38845,6
38848,38848,18
38849,38849,18
38850,38850,16
38854,38854,31
38855,38855,18
38856,38856,15
38857,38857,14
38858,38858,5
38859,38859,4
38862,38862,2
38863,38863,13
38864,38864,10
38865,38865,21
38866,38866,6
38873,38873,7
38875,38875,2
38876,38876,4
38879,38879,13
38882,38882,7
38884,38884,30
38887,38887,34
38888,38888,8
38889,38889,25
38896,38896,5
38897,38897,2
38900,38900,4
38901,38901,3
38902,38902,8
38904,38904,1
38905,38905,3
38907,38907,3
38908,38908,1
38912,38912,35
38914,38914,10
38916,38916,3
38917,38917,14
38920,38920,1
38924,38924,3
38925,38925,2
38927,38927,22
38928,38928,4
38930,38930,8
38933,38933,3
38935,38935,1
38937,38937,38
38938,38938,12
38939,38939,28
38943,38943,10
38944,38944,4
38945,38945,39
38946,38946,1
38948,38948,6
38949,38949,5
38950,38950,4
38952,38952,1
38953,38953,4
38954,38954,10
38957,38957,7
38958,38958,7
38959,38959,6
38960,38960,2
38961,38961,3
38962,38962,24
38964,38964,1
38967,38967,5
38968,38968,30
38969,38969,7
38970,38970,30
38971,38971,5
38973,38973,34
38976,38976,6
38977,38977,7
38978,38978,20
38981,38981,2
38983,38983,4
38984,38984,6
38986,38986,6
38987,38987,15
38989,38989,10
38990,38990,1
38991,38991,23
38995,38995,1
38998,38998,25
38999,38999,7
39000,39000,1
39003,39003,5
39006,39006,23
39007,39007,1
39008,39008,5
39009,39009,17
39010,39010,5
39011,39011,3
39013,39013,3
39014,39014,41
39015,39015,6
39017,39017,2
39021,39021,2
39025,39025,25
39026,39026,5
39027,39027,10
39030,39030,12
39031,39031,20
39032,39032,3
39033,39033,21
39035,39035,9
39037,39037,1
39038,39038,2
39039,39039,4
39040,39040,25
39041,39041,4
39042,39042,8
39045,39045,3
39048,39048,5
39049,39049,2
39050,39050,17
39051,39051,3
39052,39052,1
39056,39056,4
39057,39057,10
39058,39058,43
39060,39060,1
39063,39063,9
39065,39065,4
39068,39068,15
39069,39069,20
39070,39070,10
39072,39072,14
39073,39073,4
39074,39074,6
39075,39075,1
39076,39076,1
39078,39078,21
39080,39080,1
39081,39081,38
39082,39082,5
39084,39084,15
39085,39085,10
39087,39087,9
39088,39088,1
39092,39092,1
39093,39093,3
39094,39094,6
39095,39095,3
39096,39096,40
39097,39097,4
39101,39101,6
39105,39105,10
39107,39107,25
39108,39108,40
39109,39109,30
39110,39110,17
39112,39112,4
39114,39114,1
39116,39116,6
39118,39118,13
39119,39119,8
39120,39120,2
39122,39122,5
39125,39125,5
39126,39126,14
39127,39127,2
39130,39130,3
39131,39131,1
39132,39132,10
39135,39135,1
39140,39140,21
39142,39142,25
39143,39143,2
39145,39145,5
39151,39151,2
39155,39155,5
39156,39156,5
39157,39157,10
39159,39159,6
39161,39161,10
39163,39163,5
39165,39165,23
39166,39166,2
39167,39167,5
39168,39168,2
39169,39169,18
39170,39170,3
39171,39171,23
39172,39172,11
39174,39174,24
39175,39175,3
39179,39179,8
39181,39181,1
39183,39183,7
39185,39185,5
39187,39187,30
39188,39188,15
39190,39190,8
39192,39192,8
39194,39194,8
39196,39196,5
39199,39199,14
39200,39200,50
39202,39202,25
39203,39203,15
39204,39204,2
39205,39205,3
39206,39206,40
39207,39207,35
39208,39208,9
39210,39210,1
39211,39211,10
39212,39212,2
39213,39213,6
39215,39215,1
39217,39217,20
39220,39220,2
39222,39222,10
39223,39223,21
39224,39224,9
39225,39225,1
39226,39226,6
39228,39228,6
39229,39229,8
39232,39232,8
39235,39235,4
39236,39236,36
39238,39238,10
39240,39240,20
39242,39242,5
39243,39243,21
39245,39245,3
39247,39247,1
39250,39250,13
39253,39253,10
39254,39254,1
39255,39255,7
39256,39256,11
39258,39258,13
39259,39259,5
39260,39260,1
39262,39262,5
39264,39264,13
39265,39265,5
39267,39267,13
39268,39268,7
39269,39269,2
39270,39270,15
39271,39271,20
39273,39273,8
39276,39276,20
39278,39278,30
39280,39280,8
39281,39281,1
39282,39282,6
39283,39283,10
39284,39284,6
39285,39285,2
39286,39286,2
39289,39289,8
39290,39290,3
39291,39291,8
39292,39292,3
39293,39293,6
39295,39295,5
39298,39298,4
39299,39299,4
39301,39301,15
39303,39303,2
39304,39304,10
39305,39305,10
39306,39306,7
39307,39307,4
39308,39308,8
39309,39309,5
39311,39311,24
39317,39317,15
39323,39323,4
39324,39324,4
39325,39325,14
39329,39329,1
39330,39330,2
39331,39331,20
39332,39332,15
39333,39333,18
39335,39335,12
39336,39336,5
39337,39337,2
39338,39338,6
39339,39339,32
39340,39340,4
39341,39341,31
39342,39342,1
39345,39345,2
39346,39346,8
39347,39347,12
39348,39348,40
39350,39350,10
39356,39356,29
39358,39358,1
39359,39359,12
39360,39360,10
39361,39361,5
39362,39362,10
39363,39363,3
39365,39365,4
39366,39366,14
39368,39368,2
39369,39369,6
39370,39370,11
39371,39371,14
39372,39372,4
39373,39373,7
39374,39374,1
39379,39379,15
39380,39380,5
39383,39383,3
39384,39384,10
39385,39385,4
39387,39387,4
39388,39388,3
39389,39389,1
39393,39393,1
39396,39396,20
39398,39398,8
39399,39399,7
39400,39400,5
39401,39401,2
39403,39403,31
39404,39404,3
39405,39405,2
39409,39409,3
39410,39410,3
39411,39411,3
39412,39412,16
39415,39415,5
39416,39416,20
39417,39417,4
39418,39418,2
39420,39420,15
39421,39421,1
39422,39422,4
39423,39423,1
39424,39424,11
39425,39425,3
39426,39426,3
39427,39427,3
39428,39428,6
39429,39429,14
39430,39430,18
39432,39432,29
39433,39433,7
39434,39434,1
39435,39435,9
39436,39436,5
39438,39438,10
39439,39439,5
39440,39440,7
39441,39441,15
39442,39442,6
39443,39443,4
39446,39446,9
39447,39447,7
39448,39448,11
39449,39449,25
39451,39451,2
39454,39454,1
39456,39456,12
39457,39457,30
39458,39458,3
39459,39459,2
39461,39461,2
39463,39463,10
39464,39464,3
39465,39465,9
39469,39469,18
39472,39472,2
39473,39473,2
39474,39474,2
39476,39476,4
39477,39477,4
39478,39478,10
39480,39480,10
39481,39481,4
39482,39482,2
39483,39483,8
39485,39485,1
39486,39486,22
39487,39487,1
39488,39488,3
39489,39489,6
39490,39490,35
39491,39491,2
39494,39494,5
39496,39496,4
39498,39498,4
39499,39499,11
39503,39503,1
39504,39504,5
39505,39505,3
39506,39506,1
39508,39508,6
39509,39509,16
39512,39512,8
39513,39513,6
39514,39514,30
39516,39516,9
39519,39519,1
39520,39520,1
39523,39523,1
39526,39526,1
39527,39527,9
39528,39528,1
39532,39532,1
39533,39533,8
39534,39534,5
39536,39536,41
39539,39539,9
39541,39541,5
39543,39543,16
39545,39545,2
39549,39549,10
39550,39550,4
39551,39551,2
39552,39552,33
39553,39553,4
39554,39554,1
39555,39555,1
39557,39557,3
39558,39558,4
39559,39559,20
39561,39561,16
39563,39563,13
39564,39564,1
39565,39565,10
39566,39566,5
39567,39567,14
39568,39568,6
39570,39570,3
39571,39571,18
39572,39572,20
39573,39573,23
39574,39574,40
39575,39575,2
39576,39576,4
39578,39578,15
39579,39579,4
39580,39580,3
39581,39581,2
39582,39582,33
39583,39583,5
39584,39584,1
39586,39586,4
39587,39587,4
39591,39591,2
39592,39592,10
39594,39594,10
39595,39595,17
39596,39596,6
39597,39597,2
